#freq, s11_mag, s21_mag, s11_mp_mag, s21_mp_mag
1000000, -0.18791967599, -21.9516151857, -24.8838393722, -0.554108022236
1198396.79359, -0.18871560221, -21.9909376262, -25.1825696163, -0.608342374177
1396793.58717, -0.189020910697, -22.0342832225, -26.0101810583, -0.657354410633
1595190.38076, -0.188810646997, -22.0821575698, -27.4660292005, -0.701231802742
1793587.17435, -0.188203704339, -22.1327973541, -29.7852996431, -0.740429841198
1991983.96794, -0.187417188445, -22.1830261281, -33.5557523064, -0.77581594344
2190380.76152, -0.186697244362, -22.2293654695, -40.6988986818, -0.808540194055
2388777.55511, -0.186249667894, -22.2691018922, -44.0945639917, -0.839805263103
2587174.3487, -0.18618865527, -22.3010466714, -35.5265242329, -0.870615829817
2785571.14228, -0.186513244794, -22.3258313024, -31.4498970533, -0.901583145927
2983967.93587, -0.187113776851, -22.3457004629, -29.1702398616, -0.932839308839
3182364.72946, -0.18780574435, -22.3638744736, -27.9055494173, -0.964081291359
3380761.52305, -0.188383504673, -22.3836511993, -27.372986857, -0.994726146825
3579158.31663, -0.188680422466, -22.4074920718, -27.4699297722, -1.02412798611
3777555.11022, -0.18861764267, -22.4363575622, -28.1959121233, -1.05179311434
3975951.90381, -0.188225321435, -22.4694935758, -29.6513452491, -1.07753469201
4174348.69739, -0.187629437356, -22.5047274114, -32.1083795521, -1.10152876924
4372745.49098, -0.187010177289, -22.5391644336, -36.2747414427, -1.12426227307
4571142.28457, -0.186547279242, -22.5700572374, -43.7103525808, -1.1463930809
4769539.07816, -0.186369527346, -22.5955889916, -40.9653071845, -1.1685652145
4967935.87174, -0.186521299916, -22.6153635721, -34.8371231431, -1.19123339976
5166332.66533, -0.186952858033, -22.6304891744, -31.4882163957, -1.21454718242
5364729.45892, -0.187535616094, -22.6432468885, -29.5361901266, -1.23832639039
5563126.25251, -0.188098826092, -22.6564356267, -28.4708747846, -1.26213209109
5761523.04609, -0.188478897746, -22.6725703983, -28.090875253, -1.28540920579
5959919.83968, -0.188567662849, -22.6931619439, -28.3304140198, -1.30765698607
6158316.63327, -0.188344273862, -22.7182947325, -29.2157547589, -1.32857777973
6356713.42685, -0.187879893688, -22.7466330277, -30.8806601131, -1.34816265753
6555110.22044, -0.187314049942, -22.7758462966, -33.6597708803, -1.3666919634
6753507.01403, -0.186811663106, -22.8033110034, -38.3645657029, -1.38465288711
6951903.80762, -0.186515200531, -22.8268705365, -44.2242568517, -1.40259925446
7150300.6012, -0.186505713331, -22.8454368122, -38.787271005, -1.42099444807
7348697.39479, -0.186782035308, -22.8592783421, -34.0057532826, -1.44008287658
7547094.18838, -0.187262237141, -22.8699288525, -31.2183545078, -1.45982676028
7745490.98196, -0.187806751728, -22.879745483, -29.5755112928, -1.47992541844
7943887.77555, -0.188257909459, -22.8912343528, -28.7245494407, -1.49990985393
8142284.56914, -0.188485738304, -22.9063295417, -28.5221993468, -1.51928357265
8340681.36273, -0.188426473724, -22.9258363602, -28.9337503481, -1.53766806773
8539078.15631, -0.188101120262, -22.9492096729, -30.0120375282, -1.5549115686
8737474.9499, -0.187607804491, -22.9747345181, -31.9276708353, -1.57113108082
8935871.74349, -0.187091077745, -23.0000463287, -35.0809957194, -1.58667721404
9134268.53707, -0.18669899073, -23.0228242409, -40.2263302424, -1.6020328364
9332665.33066, -0.186541329444, -23.0414507396, -42.7525054918, -1.61767499208
9531062.12425, -0.186660146332, -23.0554566235, -37.1339919339, -1.6339397872
9729458.91784, -0.187019227595, -23.0656394285, -33.2455817965, -1.65092913604
9927855.71142, -0.187514525228, -23.0738300931, -30.9022704553, -1.66848589936
10126252.505, -0.188003203429, -23.0823706969, -29.5339407455, -1.68624380358
10324649.2986, -0.188344363619, -23.0934435911, -28.8884188739, -1.70373663294
10523046.0922, -0.188440297718, -23.108441562, -28.8659220624, -1.72053424503
10721442.8858, -0.18826546514, -23.1275674149, -29.4587845057, -1.73636620093
10919839.6794, -0.187873486336, -23.1497867182, -30.7466460216, -1.75119817655
11118236.4729, -0.187379969335, -23.1731457915, -32.9397806706, -1.76524042572
11316633.2665, -0.18692748045, -23.195350809, -36.4917532441, -1.77888671644
11515030.0601, -0.186644285625, -23.2144291982, -41.6227251944, -1.79260150867
11713426.8537, -0.186608896972, -23.2292830712, -40.7787082494, -1.80678767681
11911823.6473, -0.186829293106, -23.2399874609, -35.8125162327, -1.82167266738
12110220.4409, -0.187241322333, -23.2477600364, -32.576235511, -1.83724571037
12308617.2345, -0.187726526348, -23.2546132619, -30.5983663012, -1.85326393572
12507014.0281, -0.188145345315, -23.2627810542, -29.4760668807, -1.86932492458
12705410.8216, -0.188377292501, -23.2740769723, -29.0261258444, -1.88498404318
12903807.6152, -0.188356470037, -23.2893697385, -29.1830259107, -1.89988234663
13102204.4088, -0.188091011691, -23.308335592, -29.9637620084, -1.91384865443
13300601.2024, -0.187659918017, -23.3295638728, -31.4755870442, -1.92694733768
13498997.996, -0.187188660267, -23.3509796545, -33.9691053614, -1.93945900787
13697394.7896, -0.186812046553, -23.3704494142, -37.897308137, -1.95180000771
13895791.5832, -0.186636001205, -23.3863886072, -42.0751547281, -1.96440370915
14094188.3768, -0.186708737938, -23.398201742, -38.9637762155, -1.97759737878
14292585.1703, -0.187008173675, -23.4064408593, -34.720641489, -1.99150987773
14490981.9639, -0.187448257658, -23.4126447031, -31.9908923916, -2.00603666466
14689378.7575, -0.187902798256, -23.418901788, -30.3238782374, -2.02087182415
14887775.5511, -0.188241150468, -23.4272541528, -29.4257689123, -2.03559744474
15086172.3447, -0.188366187852, -23.4391086502, -29.1635096689, -2.04980400339
15284569.1383, -0.188243051348, -23.454829988, -29.4999398277, -2.06320723853
15482965.9319, -0.187909218041, -23.4736405533, -30.4754755325, -2.07572842454
15681362.7255, -0.187462587335, -23.4938570453, -32.2258601275, -2.08751592916
15879759.519, -0.187031931425, -23.5133871703, -35.036271291, -2.09890241932
16078156.3126, -0.18673952972, -23.5303331138, -39.2101273008, -2.11030998069
16276553.1062, -0.186667083132, -23.543526592, -41.4436694417, -2.12213008262
16474949.8998, -0.186833744306, -23.5528504036, -37.4128086572, -2.13461251605
16673346.6934, -0.187191284604, -23.5592648434, -33.7980321111, -2.14779510904
16871743.487, -0.187637415879, -23.5645343724, -31.4795280191, -2.16149436679
17070140.2806, -0.188044266945, -23.5707267082, -30.0841975053, -2.1753594285
17268537.0741, -0.188294920112, -23.5796204065, -29.3937863077, -2.18897335539
17466933.8677, -0.188317677516, -23.5921906272, -29.3135906812, -2.20197241056
17665330.6613, -0.188107287038, -23.6083278305, -29.8310170939, -2.21414928473
17863727.4549, -0.187726065074, -23.6268763507, -31.0094000001, -2.22551137508
18062124.2485, -0.187284724363, -23.6459789741, -33.0129318031, -2.23627808094
18260521.0421, -0.186909574293, -23.6636186633, -36.1398708975, -2.24681818956
18458917.8357, -0.186706499425, -23.6781945121, -40.2221330524, -2.25754501617
18657314.6293, -0.186731852331, -23.6889693305, -40.1688998273, -2.26879902517
18855711.4228, -0.186977445742, -23.6962703339, -36.0971067879, -2.2807513043
19054108.2164, -0.187372995059, -23.7013930663, -33.0063491332, -2.29335562018
19252505.01, -0.187805473585, -23.7062347004, -31.0332567836, -2.30636273868
19450901.8036, -0.188150858456, -23.7127541241, -29.8808054263, -2.31939259993
19649298.5972, -0.188309931062, -23.7224085324, -29.3857845464, -2.33204328389
19847695.3908, -0.188237537972, -23.7357312893, -29.4841740477, -2.34400543785
20046092.1844, -0.187955862774, -23.7521798379, -30.1855585623, -2.35514975174
20244488.978, -0.187547312893, -23.7703004002, -31.5760013337, -2.36556314382
20442885.7715, -0.187129651126, -23.7881562073, -33.845226251, -2.37552375303
20641282.5651, -0.186821686922, -23.8038869084, -37.2485285629, -2.38542190892
20839679.3587, -0.18670990657, -23.816235234, -40.647298033, -2.39564933991
21038076.1523, -0.186824961465, -23.8248959228, -38.7252438032, -2.40648795853
21236472.9459, -0.187133594021, -23.8305964294, -34.9722719824, -2.4180299855
21434869.7395, -0.187547797765, -23.8348902067, -32.3199462385, -2.43015237235
21633266.5331, -0.187949173351, -23.8397170317, -30.6450031525, -2.44255272316
21831663.3267, -0.188222523981, -23.8468489437, -29.7139173068, -2.45483618557
22030060.1202, -0.188289416363, -23.8573787262, -29.4052965321, -2.46662814694
22228456.9138, -0.188131389669, -23.8714032522, -29.6807255274, -2.47768050802
22426853.7074, -0.187795185897, -23.8879992327, -30.5704948583, -2.48794168062
22625250.501, -0.187378364457, -23.9054979135, -32.1829268061, -2.49757088632
22823647.2946, -0.187000328188, -23.9219719262, -34.7235860857, -2.50689286385
23022044.0882, -0.186768070385, -23.9357871972, -38.2815046337, -2.51630583764
23220440.8818, -0.186746516532, -23.9460620645, -40.3388665262, -2.52616851182
23418837.6754, -0.186941023058, -23.9529102257, -37.3422887331, -2.53669825664
23617234.4689, -0.18729607571, -23.9574054949, -34.0009597822, -2.54790953405
23815631.2625, -0.187710504766, -23.9612786368, -31.7210343395, -2.55961034581
24014028.0561, -0.188065716888, -23.9664263528, -30.309368664, -2.57145754893
24212424.8497, -0.18825969601, -23.9743672812, -29.5834700769, -2.58305497406
24410821.6433, -0.188236951531, -23.9858023021, -29.4549533927, -2.59406611919
24609218.4369, -0.188004923249, -24.0004121071, -29.9076151076, -2.60430938839
24807615.2305, -0.187631420574, -24.0169545956, -30.9915016864, -2.61380926851
25006012.024, -0.187224131295, -24.0336304911, -32.8354381687, -2.6227892362
25204408.8176, -0.186899109575, -24.0486038826, -35.63682613, -2.6316084748
25402805.6112, -0.186747952619, -24.0605238384, -39.0900638093, -2.64066015045
25601202.4048, -0.186812685486, -24.0689015121, -39.4544887965, -2.65025984081
25799599.1984, -0.187074504586, -24.0742434085, -36.0904071997, -2.6605559317
25997995.992, -0.187458953686, -24.0779073818, -33.1548953708, -2.67148761101
26196392.7856, -0.187856413101, -24.0817194521, -31.1969609858, -2.68280261714
26394789.5792, -0.188152990902, -24.0874538903, -30.0223527462, -2.6941294786
26593186.3727, -0.188263496288, -24.0963222465, -29.4895094366, -2.70508338157
26791583.1663, -0.188156584779, -24.1086218789, -29.5370456515, -2.7153753599
26989979.9599, -0.187863928881, -24.1236515425, -30.1686912678, -2.72489396477
27188376.7535, -0.187470427036, -24.139919816, -31.4533962962, -2.7337366725
27386773.5471, -0.187088913169, -24.1555804912, -33.5356112238, -2.74218229842
27585170.3407, -0.186827601464, -24.1689625762, -36.5526674244, -2.75061219013
27783567.1343, -0.18675986716, -24.1790417311, -39.4817181513, -2.75940221068
27981963.9279, -0.186904296964, -24.1857245758, -38.2902349996, -2.76881604589
28180360.7214, -0.187219746668, -24.1898721441, -34.9774443593, -2.77893026362
28378757.515, -0.18761656414, -24.1930572935, -32.4131564557, -2.7896126969
28577154.3086, -0.187981446802, -24.1971199026, -30.7385812438, -2.80056036554
28775551.1022, -0.188209701187, -24.2036407969, -29.7810872913, -2.81138592794
28973947.8958, -0.188235814492, -24.2134847966, -29.4323373933, -2.82172780033
29172344.6894, -0.188052839847, -24.2265497816, -29.6537887447, -2.83135257652
29370741.483, -0.187714234126, -24.241799148, -30.4675309926, -2.84022096156
29569138.2766, -0.187317663774, -24.2575668413, -31.9600708797, -2.8484988885
